Access to Water (WATSUP) - Percentage of population with access to improved drinking water source,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation, 2013.",,,,,,,,,,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guatemala,81.3916438,82.0047074,82.6156618,83.2242032,83.8305979,84.4347286,85.0366601,85.6361413,86.2333974,86.8283248,87.4209994,88.0111655,88.599051,89.1845536,89.7683261,90.3501522,90.9300751,91.5080289,92.0839662,92.6578475,93.2296073,93.7992112
Guinea,51.3102466,52.525159,53.7337033,54.9352582,56.1303324,57.3186424,58.500295,59.6746994,60.8459135,62.0134017,63.1767852,64.3356929,65.4897143,66.6384796,67.7815662,68.9185626,70.0490581,71.1726282,72.2888323,73.3972209,73.509491,73.6249301
Guinea-Bissau,35.7543806,37.3446523,38.917248,40.4724608,42.0462138,43.6387499,45.2504033,46.8809237,48.5310221,50.2008379,51.8907351,53.600215,55.330098,57.0803814,58.8514887,60.6425409,62.4546755,64.2827402,66.126182,67.9843948,69.8568001,71.7428725
Guyana,NA,NA,NA,NA,87.9948028,87.9889392,87.9829627,87.9771372,87.9712454,88.4707504,88.9706875,89.4709429,89.9712877,90.4720451,90.9740327,91.4772156,91.981516,92.4868145,92.9931424,93.5003778,94.0082943,94.517089
Haiti,61.4134251,61.8368798,62.270485,62.2325291,62.1918679,62.1480561,62.1012853,62.0436843,61.9829007,61.9185207,61.8469699,62.1215635,62.3922862,62.6568154,62.9143305,63.1454858,63.3513645,63.5302062,63.6813124,63.8041893,63.8986207,63.964552
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,72.7701101,73.609321,74.441377,75.2655173,76.0823212,76.8915135,77.6932169,78.4867967,79.2727764,80.0509149,80.8213085,81.5833952,82.3952667,83.1994798,83.952937,84.6862656,85.4109333,86.1360652,86.850939,87.5552942,88.249376,88.9332606
Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,95.6557527,95.97928,96.3041411,96.6303785,96.9579577,97.2869029,97.6171983,97.9488778,98.2819161,98.6163216,98.9521127,99.2918961,99.6326509,99.9689378,100,100,100,100,100,100,100,100
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
India,70.3015565,71.3538789,72.3964448,73.4355971,74.4715043,75.504073,76.5333325,77.559084,78.5814707,79.6004082,80.6159172,81.6334129,82.657436,83.6761999,84.6897019,85.6977061,86.7003274,87.6974481,88.6890531,89.6749524,90.6552204,91.6297565
Indonesia,69.7821035,70.5760654,71.3657362,72.1482044,72.9241673,73.6928236,74.5099354,75.3447328,76.1323686,76.9097142,77.6762702,78.3154176,78.9471304,79.5710195,80.1871808,80.7947997,81.3944453,81.9857776,82.5689003,83.1430975,83.7089038,84.2639762
Iran,90.5507729,90.6439621,90.7811265,90.9319525,91.2763895,91.6101286,91.9333755,92.2340323,92.5215884,92.8000064,93.0694823,93.3296788,93.5810756,93.8236199,94.0575069,94.2825122,94.4990603,94.6724736,94.8264979,94.9789907,95.1300024,95.2795252
Iraq,78.2775664,78.1743102,78.0705578,77.9667401,77.8624349,78.2133391,78.5701558,78.9333242,79.3014647,79.675413,80.0555114,80.4421595,80.8350249,81.2342606,81.6752455,82.1198378,82.567879,83.0194325,83.4744592,83.9331098,84.4005058,84.8757821
Ireland,99.8361189,99.8365571,99.8372638,99.8379675,99.8386532,99.8393501,99.8400421,99.8408386,99.8416376,99.8424397,99.8432349,99.8440176,99.8448338,99.8457053,99.846586,99.8474763,99.8483353,99.8492284,99.8501447,99.8510487,99.8519877,99.8529321
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,93.4408893,93.4352246,93.4319164,93.4282985,93.4244428,93.420315,93.4159519,93.411249,93.4063271,93.4011414,93.3956914,93.3899085,93.3655703,93.3368074,93.308034,93.2792945,93.2505765,93.2218843,93.1932057,93.1662598,93.1409911,93.1173679
Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jordan,96.7036513,96.7536998,96.7989343,96.8389146,96.8740691,96.8655444,96.8246697,96.7832624,96.7414051,96.6990641,96.6562919,96.6130122,96.569283,96.525107,96.4804988,96.4354001,96.3898676,96.3439068,96.2975419,96.250692,96.2034365,96.1557582
Kazakhstan,96.163908,96.1575271,96.1511367,96.1447606,96.0633288,95.9898286,95.9163647,95.842938,95.7695512,95.6904193,95.6000638,95.5093771,95.4182917,95.3268291,95.2349661,95.1427796,95.0501925,94.9572221,94.8638628,94.846998,94.8323472,94.8199361
Kenya,42.7424675,43.6782212,44.6080417,45.5310628,46.4478155,47.3578998,48.2613596,49.1573679,50.0464063,50.9280762,51.8064981,52.6773227,53.540257,54.3948921,55.2412333,56.0785,56.9070813,57.7265893,58.5369947,59.3375841,60.1286827,60.9109677
Kiribati,49.5538387,50.2945478,51.0348357,51.7739641,52.5135192,53.2531587,54.2540577,55.401252,56.5529999,57.7104842,58.8703726,59.6890707,60.3222142,60.9556637,61.5876457,62.2211593,62.8541493,63.492314,64.136245,64.7862324,65.4421072,66.1034889
Kuwait,98.9999938,99.000002,98.999988,98.9999866,98.9999716,99.0000068,99.0000123,99.0000071,98.999996,99.0000092,98.9999928,98.999994,99.0000077,98.9999934,98.9999931,99.0000062,99.0000174,99.0000074,98.9999808,98.9999947,99.0000117,99.0000149
Kyrgyzstan,NA,77.4527184,77.362824,77.2734787,77.1842676,77.0953598,77.9146199,78.7430873,79.5803991,80.4455726,81.365006,82.2844843,83.2039996,84.1235673,85.0431993,85.9628616,86.8825884,87.8023347,88.7221508,88.7219891,88.7242622,88.7289943
Laos,NA,NA,NA,NA,39.6323115,39.8254306,40.1406898,40.4669639,40.8056678,43.1366311,45.4548002,47.7574603,50.0447177,52.314768,54.5666841,56.7977111,59.0007792,61.1745317,63.3183057,65.4315352,67.5138133,69.5649056
Latvia,98.4553503,98.4534721,98.4401326,98.4381065,98.442006,98.4362554,98.43244,98.4305004,98.4248409,98.416035,98.4101281,98.4056956,98.4018908,98.39994,98.4037799,98.4076099,98.4063356,98.403773,98.4012402,98.3986769,98.3967567,98.3954649
Lebanon,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lesotho,80.1453412,80.2428723,80.3437801,80.4476685,80.5549973,80.3763769,80.1982482,80.0096289,79.8241101,79.641655,79.4624208,79.2859466,79.1127122,78.9426785,78.7758805,78.6119534,78.4513615,78.29225,78.1345127,77.9780951,77.8227786,77.6685478
Liberia,NA,NA,NA,NA,57.9486373,58.0242157,59.5602432,58.6093858,58.2518739,59.4729991,60.6979268,61.9262572,63.1583849,65.2038643,67.3487198,67.4394878,68.1234794,69.3739239,70.6281058,71.8876184,73.1528731,74.423917
